entry_time,exit_time,symbol,action,strategy,confidence,entry,stop_loss,take_profit,exit_price,exit_reason,quantity,pnl,reason,equity,running_max,drawdown
2026-04-20 08:58:00,2026-04-20 09:07:00,ES JUN26,BUY,ORB_BREAKOUT,0.73,7128.75,7126.674107142857,7132.901785714285,7132.901785714285,TARGET,1,207.58928571426623,"ORB long score 0.90, ML probability 0.56",207.58928571426623,207.58928571426623,0.0
2026-04-21 10:27:00,2026-04-21 10:33:00,ES JUN26,BUY,ORB_BREAKOUT,0.63,7169.25,7168.290178571428,7171.169642857143,7171.169642857143,TARGET,1,95.98214285715585,"ORB long score 0.70, ML probability 0.56",303.5714285714221,303.5714285714221,0.0
2026-04-21 10:38:00,2026-04-21 10:47:00,ES JUN26,BUY,ORB_BREAKOUT,0.64,7172.25,7171.290178571428,7174.169642857143,7174.169642857143,TARGET,1,95.98214285715585,"ORB long score 0.70, ML probability 0.58",399.5535714285779,399.5535714285779,0.0
2026-04-21 10:44:00,2026-04-21 10:51:00,ES JUN26,BUY,ORB_BREAKOUT,0.65,7172.75,7171.723214285715,7174.803571428572,7174.803571428572,TARGET,1,102.67857142857792,"ORB long score 0.75, ML probability 0.55",502.23214285715585,502.23214285715585,0.0
2026-04-23T08:47:00.0000000,2026-04-23T08:51:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.7,7165.25,7161.537529149679,7172.674941700642,7161.537529149679,STOP,1,-185.6235425160321,"ORB long score 0.85, ML probability 0.55",316.60860034112375,502.23214285715585,-185.6235425160321
2026-04-23T08:53:00.0000000,2026-04-23T08:56:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.68,7165.5,7161.152997007376,7174.194005985247,7161.152997007376,STOP,1,-217.35014963119283,"ORB long score 0.80, ML probability 0.57",99.25845070993091,502.23214285715585,-402.97369214722494
2026-04-24 11:09:00,2026-04-24 11:22:00,ES JUN26,BUY,ORB_BREAKOUT,0.8,7166.75,7161.549107142857,7177.151785714285,7177.151785714285,TARGET,1,520.0892857142662,"ORB long score 1.00, ML probability 0.60",619.3477364241971,619.3477364241971,0.0
2026-04-24 11:15:00,2026-04-24 11:27:00,ES JUN26,BUY,ORB_BREAKOUT,0.68,7170.5,7163.357142857143,7184.785714285715,7184.785714285715,TARGET,1,714.2857142857338,"ORB long score 0.75, ML probability 0.62",1333.633450709931,1333.633450709931,0.0
2026-04-24 11:21:00,2026-04-24 11:23:00,ES JUN26,BUY,ORB_BREAKOUT,0.73,7167.5,7160.669642857143,7181.160714285715,7181.160714285715,TARGET,1,683.0357142857338,"ORB long score 0.85, ML probability 0.62",2016.6691649956647,2016.6691649956647,0.0
2026-04-24T09:57:00.0000000,2026-04-24T10:17:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.68,7170.0,7165.561666026405,7178.87666794719,7172.25,TIME_EXIT,1,112.5,"ORB long score 0.80, ML probability 0.55",2129.1691649956647,2129.1691649956647,0.0
2026-04-27T12:31:00.0000000,2026-04-27T12:51:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.7,7203.25,7201.134938010662,7207.480123978677,7204.0,TIME_EXIT,1,37.5,"ORB long score 0.85, ML probability 0.56",2166.6691649956647,2166.6691649956647,0.0
2026-04-27T15:47:00.0000000,2026-04-27T15:52:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.68,7206.75,7205.796909799158,7208.656180401684,7205.796909799158,STOP,1,-47.654510042093534,"ORB long score 0.80, ML probability 0.55",2119.014654953571,2166.6691649956647,-47.654510042093534
2026-04-27T15:51:00.0000000,2026-04-27T15:57:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.63,7206.0,7205.065819990987,7207.868360018027,7205.065819990987,STOP,1,-46.70900045066446,"ORB long score 0.70, ML probability 0.56",2072.3056545029067,2166.6691649956647,-94.363510492758
2026-04-27T15:55:00.0000000,2026-04-27T15:57:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.63,7205.75,7204.835695342112,7207.578609315776,7204.835695342112,STOP,1,-45.71523289441757,"ORB long score 0.70, ML probability 0.55",2026.5904216084891,2166.6691649956647,-140.07874338717556
2026-04-27T22:56:00.0000000,2026-04-27T23:01:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.63,7208.75,7207.849883260101,7210.5502334797975,7207.849883260101,STOP,1,-45.00583699496019,"ORB long score 0.70, ML probability 0.55",1981.584584613529,2166.6691649956647,-185.08458038213575
2026-04-27T23:02:00.0000000,2026-04-27T23:06:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.63,7208.5,7207.5554559047605,7210.389088190479,7207.5554559047605,STOP,1,-47.22720476197537,"ORB long score 0.70, ML probability 0.56",1934.3573798515536,2166.6691649956647,-232.31178514411113
2026-04-27T23:15:00.0000000,2026-04-27T23:34:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.68,7210.0,7209.051601173749,7211.896797652502,7211.896797652502,TARGET,1,94.83988262509229,"ORB long score 0.80, ML probability 0.55",2029.1972624766458,2166.6691649956647,-137.47190251901884
2026-04-27T23:22:00.0000000,2026-04-27T23:35:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.68,7210.5,7209.562094230149,7212.375811539701,7212.375811539701,TARGET,1,93.79057698506585,"ORB long score 0.80, ML probability 0.55",2122.9878394617117,2166.6691649956647,-43.681325533952986
2026-04-27T23:28:00.0000000,2026-04-27T23:34:00.0000000,ES JUN26,BUY,ORB_BREAKOUT,0.65,7210.25,7209.464703168818,7211.8205936623635,7211.8205936623635,TARGET,1,78.52968311817676,"ORB long score 0.70, ML probability 0.59",2201.5175225798885,2201.5175225798885,0.0
